"Latest: Time (s)","Latest: Temperature (°C)"
498,50.5883310755
500,50.5419089714
502,50.4844005927
504,50.4158410131
506,50.3658654069
508,50.3085423474
510,50.2678978837
512,50.2032983225
514,50.1664184129
516,50.1093034285
518,50.0761670789
520,50.0412114328
522,49.991575702
524,49.9364771598
526,49.8997752698
528,49.8484334474
530,49.8099582486
532,49.7568696117
534,49.7148008352
536,49.6526703467
538,49.6070302649
540,49.5632508291
542,49.5085746527
544,49.4612317399
546,49.4048365506
548,49.3557642024
550,49.3067345737
552,49.2577475242
554,49.1961204815
556,49.1417993448
558,49.0929547769
560,49.0315064908
562,48.988171153
564,48.9250327874
566,48.8817782308
568,48.813358677
570,48.7701883873
572,48.6983099675
574,48.6534315337
576,48.5816986563
578,48.5422835355
580,48.4850003605
582,48.4277737704
584,48.3884631993
586,48.3277627357
588,48.2689080219
590,48.2154552013
592,48.1727281109
594,48.1175850579
596,48.0731525894
598,47.9861622725
600,47.909929509
602,47.8621126708
604,47.8037222886
606,47.7506899786
608,47.703001349
610,47.6430033115
612,47.5989255986
614,47.5531192615
616,47.5073479757
618,47.4545783645
620,47.412396056
622,47.3579543384
624,47.322856752
626,47.2912863795
628,47.2404576906
630,47.1914222111
632,47.1476740416
634,47.1057054472
636,47.077742477
638,47.0288381728
640,46.9904408725
642,46.9450933609
644,46.8962951616
646,46.8562399923
648,46.8162109608
650,46.7657767159
652,46.7223320662
654,46.6650319597
656,46.6337997485
658,46.5800478703
660,46.5367335164
662,46.4899879323
664,46.4415481138
666,46.4121565917
668,46.3637771895
670,46.3102579309
672,46.2671305374
674,46.2171398805
676,46.1706325774
678,46.1121166472
680,46.0674057644
682,46.0055505418
684,45.9712126128
686,45.9060216811
688,45.8648828688
690,45.8100723988
692,45.7741285865
694,45.7279447783
696,45.6732514885
698,45.6322620819
700,45.5691212082
702,45.5316072909
704,45.4668617979
706,45.4294071511
708,45.3715652096
710,45.3205709232
712,45.2747101822
714,45.2254882249
716,45.1644366053
718,45.1305436032
720,45.0780440026
722,45.0205119284
724,44.9748604297
726,44.9174181855
728,44.8853398027
730,44.8313480908
732,44.7925686251
734,44.7470737044
736,44.7032930872
738,44.6746828011
740,44.6242238733
742,44.5721228366
744,44.5318142743
746,44.4479154822
748,44.4076810554
750,44.3708204944
752,44.3256099008
754,44.2804293738
756,44.2503256769
758,44.211879177
760,44.1600942036
762,44.1200295103
764,44.0699815412
766,44.0349696448
768,43.9933120244
770,43.9533443742
772,43.9100721664
774,43.8751412801
776,43.8285941246
778,43.7970263126
780,43.7604919952
782,43.7206582092
784,43.6957736328
786,43.6626079727
788,43.6394013586
790,43.6145456549
792,43.6012928803
794,43.5814184082
796,43.549961985
798,43.5317567986
800,43.5069391257
802,43.4804765665
804,43.4523709624
806,43.4275811777
808,43.407755601
810,43.3780276352
812,43.3367594486
814,43.2971645222
816,43.2625370159
818,43.2180406226
820,43.1900385844
822,43.1406499262
824,43.1011634714
826,43.051835886
828,43.0058272607
830,42.9811918415
832,42.9532818449
834,42.915538379
836,42.8958539337
838,42.8761748249
840,42.8040636203
842,42.6927590261
844,42.5375421471
846,42.403827261
848,42.3240391475
850,42.2540911702
852,42.2037040343
854,42.1728382923
856,42.1484795399
858,42.1273749882
860,42.0932954834
862,42.0657185649
